Unnamed: 0,Tweets,Created_At,Locations,Clean Tweets
28,"RT @peterjukes: So many stories of loss, bereavement at a distance, one parent families coping alone. I’m really sorry if my RTs seem callo…",2020-05-24 23:59:57,, So many stories of loss bereavement at a distance one parent families coping alone I m really sorry if my RTs seem callo 
29,RT @RealJamesWoods: Luckily the average #CoronaVirus is two inches wide... https://t.co/wUCo6LNKuH,2020-05-24 23:59:57,, Luckily the average CoronaVirus is two inches wide 
30,"RT @JeffreyGoldberg: ""That number—100,000 dead from the coronavirus—is hard to grasp. For those who have lost someone, the pandemic’s scope…",2020-05-24 23:59:57,, That number dead from the coronavirus is hard to grasp For those who have lost someone the pandemic s scope 
31,"RT @washingtonpost: Boris Johnson wants to reopen Britain’s schools in a week. Parents, teachers and local officials are pushing back. http…",2020-05-24 23:59:57,, Boris Johnson wants to reopen Britain s schools in a week Parents teachers and local officials are pushing back http 
32,"@starheal my aquarius bf is somewhat down about this. today he said to me, “i think the age of aquarius has been re… https://t.co/gufyEjkzVj",2020-05-24 23:59:57,"Silver Lake, Los Angeles", my aquarius bf is somewhat down about this today he said to me i think the age of aquarius has been re 
33,"RT @DraperRobert: My mother died this morning. I wasn't able to be by her bedside at her memory care facility in Houston to say goodbye, ow…",2020-05-24 23:59:57,IE, My mother died this morning I wasn t able to be by her bedside at her memory care facility in Houston to say goodbye ow 
34,"RT @ottawahealth: COVID-19 TESTING UPDATE: any Ottawa resident who feels they need a test, even if they are not showing symptoms, can go fo…",2020-05-24 23:59:56,, COVID TESTING UPDATE any Ottawa resident who feels they need a test even if they are not showing symptoms can go fo 
35,"RT @MikeCarlton01: Good ol’ Aussie equality. While governments lavish billions on private school wellness centres and drama theatres, “we o…",2020-05-24 23:59:56,Australia, Good ol Aussie equality While governments lavish billions on private school wellness centres and drama theatres we o 
36,@JorgeLVidal @AlanDersh Trump begins training millions of military to deal with your guns and screaming kids. Trump… https://t.co/5O689QLMIc,2020-05-24 23:59:56,"Indiana, USA", Trump begins training millions of military to deal with your guns and screaming kids Trump 
37,RT @RealJamesWoods: Luckily the average #CoronaVirus is two inches wide... https://t.co/wUCo6LNKuH,2020-05-24 23:59:56,"Delaware, USA", Luckily the average CoronaVirus is two inches wide 
38,RT @JimMFelton: @cabinetofficeuk Prime Minister’s advisor pops up and down to Durham to see the bluebells ferrying coronavirus as he goes:…,2020-05-24 23:59:56,, Prime Minister s advisor pops up and down to Durham to see the bluebells ferrying coronavirus as he goes 
39,RT @WSJ: At least 107 people have been found to be infected with the coronavirus after some of them attended Sunday services at a church in…,2020-05-24 23:59:56,"Connecticut, USA", At least people have been found to be infected with the coronavirus after some of them attended Sunday services at a church in 
40,RT @RealJamesWoods: Luckily the average #CoronaVirus is two inches wide... https://t.co/wUCo6LNKuH,2020-05-24 23:59:56,, Luckily the average CoronaVirus is two inches wide 
41,RT @RealJamesWoods: Luckily the average #CoronaVirus is two inches wide... https://t.co/wUCo6LNKuH,2020-05-24 23:59:55,Red Wave Rising USA, Luckily the average CoronaVirus is two inches wide 
42,"RT @NickKristof: While a single mom in the US gets $1,200 in Covid relief, the GOP plan provides that a millionaire real estate developer g…",2020-05-24 23:59:55,"Nashville,  TN", While a single mom in the US gets in Covid relief the GOP plan provides that a millionaire real estate developer g 
