,text,created_at,Location
86,"RT @ManuelVeth: Sad news this, former #Bundesliga champions, and home of five players that won the World Cup with Germany in 1954, 1.FC Kai…",2020-06-14 23:59:49,"Wingerworth, Derbyshire"
87,"RT @RealJamesWoods: Cuomo threatens to shut down Manhattan, Hamptons again if coronavirus social-distancing rules broken // This genius mus…",2020-06-14 23:59:49,"Milwaukee, WI #CreamCity"
88,RT @cinderellaicius: I am in the hospital with my heart. I have permanent damage from having Coronavirus in March. I want to be at the prot…,2020-06-14 23:59:49,"Minnesota, USA"
89,"RT @ASlavitt: For the third month in a row, Larry Kudlow made it on the “People whose Coronavirus advice no one listens to but he keeps giv…",2020-06-14 23:59:49,"Tallahassee, FL"
90,"RT @rhysblakely: A 70-year-old man in Seattle survived the coronavirus, got applauded by staff when he left the hospital after 62 days -- a…",2020-06-14 23:59:49,
91,"RT @clarionledger: Nine athletes from the Ole Miss athletic department have been quarantined, the University of Mississippi has confirmed.…",2020-06-14 23:59:49,"West Jackson, MS"
92,"RT @jialanw: Oh dear. Yup. Second graph actual data from California.

Rational expectations is utterly dead to me. #coronavirus #doh #whatd…",2020-06-14 23:59:48,
93,"RT @EIDAorg: Children's charity @NSPCC are calling for the #DomesticAbuseBill to have greater protections for children and young people.

T…",2020-06-14 23:59:48,"Killyleagh, Northern Ireland"
94,"RT @rhysblakely: A 70-year-old man in Seattle survived the coronavirus, got applauded by staff when he left the hospital after 62 days -- a…",2020-06-14 23:59:48,Citizen Of The World
95,"RT @DanRather: We shouldn’t be surprised that coronavirus remains a highly contagious infectious disease that thrives when people gather, e…",2020-06-14 23:59:48,"Indialantic, FL"
96,"RT @annehelen: WOW IT'S ALMOST AS IF MASK-WEARING IS GOOD 

Two infected Missouri hairstylists were wearing masks. None of their 140 custom…",2020-06-14 23:59:48,"Fort Worth, TX & Cambridge, ON"
97,RT @adamlisberg: Actual reasons NYPD cops give for not wearing masks https://t.co/FYZaOQgT1k https://t.co/BT45vDDwFu,2020-06-14 23:59:48,"Portland, OR"
98,RT @KellyO: The president’s just announced campaign rally for Oklahoma includes a liability waiver in the registration for rally attendees…,2020-06-14 23:59:48,Blue Tennessee
99,"RT @DiseaseEcology: Is re-instituting lockdowns necessary to stop rapidly rising #COVID19 cases globally?
Answer: No. But we're failing at…",2020-06-14 23:59:48,DC
100,"RT @TheBizJournal: Homebuyers looking to buy big-ticket properties – $500,000 and up – aren’t going to let the coronavirus stop them. #Real…",2020-06-14 23:59:47,"Chicago, IL"
101,RT @PLOS: New #COVID19 research published in PLOS journals this week. Explore the full #OpenAccess #ArticleCollection.,2020-06-14 23:59:47,"Yogyakarta, indonesia"
102,RT @DrEricDing: My earlier worst fears confirmed: Younger adults were the main source of 61 different outbreak clusters in Japan. In this s…,2020-06-14 23:59:47,On the roof.
103,"RT @DrDenaGrayson: ‼️Larry Kudlow claims the $600 extra unemployment benefits in the #coronavirus stimulus package are ""a disincentive” for…",2020-06-14 23:59:47,
104,"RT @GordonGChang: #COVID19 crippled #America because we left ourselves open to #China. We must, therefore, close our doors to that regime b…",2020-06-14 23:59:47,"Boston, MA"
105,"@mikejopek I’m not a public health scientist, rather a lay legislator. So, as many times as you’d like to feel safe… https://t.co/j0wlffsU8u",2020-06-14 23:59:47,
106,"RT @AbraarKaran: Lungs of an otherwise healthy woman in her 20s who received the first lung transplant for #covid19 in the US. 

https://t.…",2020-06-14 23:59:47,
107,"RT @rhysblakely: A 70-year-old man in Seattle survived the coronavirus, got applauded by staff when he left the hospital after 62 days -- a…",2020-06-14 23:59:47,"Jacksonville Beach, FL"
